instruction,output
Please describe what is the difference between dense and sparse retrieval?,"Sparse retrieval (BM25, TF-IDF) uses keyword matching with inverted indexes — fast and interpretable. Dense retrieval uses neural embeddings and ANN search — captures semantic similarity and handles paraphrasing. Hybrid RAG combines both using reciprocal rank fusion for best recall."
Please describe what is paged AdamW? Provide a detailed answer.,"Paged AdamW (bitsandbytes) keeps optimizer states in CPU RAM and pages them to GPU only when needed. Standard AdamW stores moment tensors on GPU (2x model size). Paged AdamW reduces peak GPU memory significantly, enabling larger batch sizes. Used with QLoRA."
"In simple terms, what is what is perplexity and how is it interpreted?",Perplexity = exp(-1/N * sum_i log P(w_i|context)). Lower perplexity means the model assigns higher probability to test text — it is less surprised. A perplexity of k means the model is as uncertain as a uniform distribution over k choices per token. It is an intrinsic metric and may not directly predict downstream performance.
Please describe what is the AdamW optimizer? For a Generative AI course student.,"AdamW (Loshchilov & Hutter, 2019) decouples weight decay from the adaptive gradient update. Standard Adam applies weight decay through the gradient (L2 regularization), conflating it with adaptive scaling. AdamW applies weight decay directly to weights, making regularization more effective. Standard choice for LLM training."
Please explain what is multi-head attention? Be concise and precise.,"Multi-head attention runs h attention heads in parallel, each with independent W_Q, W_K, W_V projections of dimension d_k = d_model/h. Outputs are concatenated then linearly projected: MultiHead(Q,K,V) = Concat(head_1,...,head_h)W_O. Different heads can attend to different positional and semantic patterns."
What is meant by what is gradient accumulation?,"Gradient accumulation computes gradients over multiple mini-batches before updating weights, simulating a larger effective batch size without extra memory. Effective batch = per_device_batch * gradient_accumulation_steps * num_GPUs. Essential when GPU memory limits per-device batch size."
Define the following: compare LoRA and full fine-tuning. For a Generative AI course student.,Full fine-tuning updates all parameters needing roughly 28 GB GPU for a 7B model. LoRA adds about 0.1-0.4% extra params needing roughly 6 GB. Quality is comparable for most tasks. LoRA adapters are modular and swappable — multiple tasks can share one base model. LoRA also avoids catastrophic forgetting because base weights are frozen.
"As an AI student, explain what is the TRL library?","TRL (Transformer Reinforcement Learning) is a HuggingFace library for LLM alignment. Key classes: SFTTrainer (supervised fine-tuning), RewardTrainer, PPOTrainer, DPOTrainer. Integrates with PEFT for memory-efficient training."
"For a university exam, explain what is likelihood-based training?","Likelihood-based training maximizes log P(x; theta) over the training set. VAEs maximize the ELBO (a lower bound), autoregressive models maximize exact log-likelihood, and normalizing flows maximize exact likelihood via invertible transformations. Diffusion models optimize a variational bound on log-likelihood."
Briefly describe what is a Large Language Model? For a Generative AI course student.,"An LLM is a transformer-based language model with billions of parameters trained on massive text corpora via next-token prediction. Scale enables emergent capabilities: in-context learning, chain-of-thought reasoning, instruction following. Examples: GPT-4 (OpenAI), LLaMA-3 (Meta), Mistral, Gemma (Google), Claude (Anthropic)."
What is knowledge distillation? Provide a detailed answer.,Knowledge distillation trains a smaller student model to mimic a larger teacher model. The student is trained on the teacher soft probability outputs (dark knowledge) rather than hard labels. DistilBERT is 40% smaller than BERT with 97% of its performance. Useful for deploying models on edge devices.
"In simple terms, what is what are the assessment components of the course? Be concise and precise.","Assessment breakdown: Assignment 1 (RAG System) 30%, Assignment 2 (Fine-Tuning) 30%, Viva 10%, Mid-semester exam 15%, End-semester exam 15%. Total 100%."
"For a university exam, explain what are the course prerequisites?","Prerequisites: intermediate Python, basic ML concepts (loss functions, gradient descent), linear algebra (matrix operations, eigenvalues), probability and statistics (distributions, Bayes theorem, MLE)."
What is the difference between closed-book and open-book QA?,Closed-book QA relies solely on model weights — the model answers from memory. Open-book QA provides documents or uses RAG to retrieve relevant passages — the model grounds answers in context. Open-book QA reduces hallucination and allows answering questions outside the training distribution.
Please describe what is the curse of dimensionality and how do generative models handle it? Explain with clear definitions.,"In high-dimensional spaces, data becomes sparse and distances lose meaning. Generative models handle this by learning compact latent representations (VAEs, GANs) or by factorizing the distribution autoregressively (GPT), making the problem tractable."
Please describe what is zero-shot vs few-shot prompting? Include relevant equations or pseudocode if helpful.,"Zero-shot: only a task instruction, no examples, relying purely on pretrained knowledge. Few-shot (Brown et al., 2020): k input-output demonstrations prepended to the actual query. Few-shot guides the output format and style through examples. Neither involves weight updates — both are in-context learning."
Define the following: what is positional encoding? Include relevant equations or pseudocode if helpful.,"Since self-attention is permutation-invariant, positional encoding injects order information. Original Transformer uses fixed sinusoids: PE(pos,2i)=sin(pos/10000^(2i/d)), PE(pos,2i+1)=cos(pos/10000^(2i/d)). BERT/GPT use learned embeddings. LLaMA uses RoPE (Rotary Position Embedding), which applies rotation matrices to Q and K, enabling relative position information and length generalization."
Define the following: what is beta-VAE?,"Beta-VAE adds a weight beta > 1 to the KL term: ELBO = reconstruction - beta * KL. Higher beta encourages a more disentangled, information-sparse latent space at the cost of reconstruction quality. It was introduced by Higgins et al. to learn interpretable latent factors."
"What is meant by compare encoder-only, decoder-only, and encoder-decoder Transformers. For a Generative AI course student.","Encoder-only (BERT): bidirectional context, masked LM pretraining, best for understanding (classification, NER). Decoder-only (GPT, LLaMA): causal attention, next-token prediction, best for generation and in-context learning. Encoder-decoder (T5, BART): full bidirectional encoding plus autoregressive decoding, best for seq2seq tasks like translation."
Give a technical explanation of what is generative AI? For a Generative AI course student.,"Generative AI refers to models that learn data distributions and synthesize new content—text, images, audio, video, or code—that resembles the training data. Unlike discriminative models that predict labels, generative models explicitly learn P(x) or P(x|y). Examples include GPT-4 (text), DALL-E 3 (images), MusicLM (audio), and AlphaCode (code)."
Can you explain what is the posterior collapse problem in VAEs?,"Posterior collapse occurs when the decoder ignores z and the encoder collapses to the prior (KL = 0). The model degenerates to a decoder-only model. Solutions: KL annealing (gradually increase KL weight), beta-VAE, free bits, or using a weaker decoder."
Can you explain what is emergent behavior in LLMs? Give examples where relevant.,"Emergent behaviors are capabilities that appear abruptly as model scale increases, not present in smaller models. Examples: multi-step arithmetic, chain-of-thought reasoning, code generation, instruction following. Emergence is related to phase transitions in the loss landscape. The threshold varies by task."
What is RAG? Give examples where relevant.,"RAG (Retrieval-Augmented Generation, Lewis et al., 2020) enhances generation by retrieving relevant documents at inference time. Pipeline: offline — chunk documents, embed chunks, store in vector DB; online — embed query, retrieve top-k similar chunks by ANN search, inject into prompt, LLM generates a grounded answer. Reduces hallucinations without retraining."
Can you explain what is weight tying in language models? Explain technically.,"Weight tying shares the embedding matrix between the input token embedding layer and the output projection layer (lm_head). Since both map between token space and representation space, sharing weights reduces parameter count and often improves perplexity. Used in GPT-2 and many smaller LLMs."
"In simple terms, what is what is the difference between BERT and GPT? Give examples where relevant.","BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
Define the following: what is the difference between closed-book and open-book QA? Give examples where relevant.,Closed-book QA relies solely on model weights — the model answers from memory. Open-book QA provides documents or uses RAG to retrieve relevant passages — the model grounds answers in context. Open-book QA reduces hallucination and allows answering questions outside the training distribution.
Define the following: what is the ELBO? For a Generative AI course student.,"ELBO = Evidence Lower BOund = E_q[log p(x|z)] - KL(q(z|x)||p(z)). Maximizing the ELBO simultaneously maximizes reconstruction quality and keeps the approximate posterior q(z|x) close to the prior N(0,I). The ELBO lower-bounds log p(x), so maximizing it indirectly maximizes marginal likelihood."
Define what is context length and why does it matter? Explain technically.,"Context length (or context window) is the maximum number of tokens the model can attend to at once. Longer context enables processing entire documents, multi-turn conversations, and few-shot prompting with many examples. LLaMA-3 supports 128K tokens. Long context requires flash attention and positional encoding that generalizes (e.g., RoPE with YaRN)."
Please explain what is QLoRA? Give examples where relevant.,"QLoRA (Dettmers et al., 2023) combines 4-bit NF4 (NormalFloat4) quantization of the frozen base model with LoRA adapters trained in bfloat16. Double quantization further compresses quantization constants. With paged optimizers, a 7B model can be fine-tuned on a single 16 GB T4 GPU. Quality is close to 16-bit LoRA."
I need help understanding what is weight tying in language models?,"Weight tying shares the embedding matrix between the input token embedding layer and the output projection layer (lm_head). Since both map between token space and representation space, sharing weights reduces parameter count and often improves perplexity. Used in GPT-2 and many smaller LLMs."
What topics are covered in the Generative AI and LLMs course?,"Topics: Generative models (VAE, GAN, Diffusion), Transformer architecture, LLM pretraining, Prompt engineering, Fine-tuning methods (LoRA, QLoRA, RLHF, DPO), RAG systems, Vector databases, Evaluation metrics, and practical deployment on Colab."
I need help understanding what is full fine-tuning vs PEFT? Provide a detailed answer.,Full fine-tuning updates all model parameters — roughly 28 GB GPU memory for a 7B model at float16. PEFT (Parameter-Efficient Fine-Tuning) freezes most weights and trains a tiny subset. LoRA trains about 0.1-1% extra parameters achieving near full fine-tuning quality at a fraction of memory and compute cost.
"For a university exam, explain explain the Transformer architecture. Explain technically.","A Transformer (Vaswani et al., 2017) replaces recurrence with attention. Components: token embedding + positional encoding, stacked encoder or decoder blocks each containing multi-head self-attention and a position-wise FFN with residual connections and LayerNorm. Encoder reads full context; decoder adds masked self-attention and cross-attention over encoder output."
Please describe explain Chain-of-Thought prompting. Include relevant equations or pseudocode if helpful.,"CoT prompting (Wei et al., 2022) elicits step-by-step reasoning before the final answer. Zero-shot CoT adds ""Let us think step by step."" Few-shot CoT provides worked-out reasoning examples. CoT dramatically improves multi-step arithmetic, commonsense, and symbolic reasoning. It enables models to decompose problems and check intermediate steps."
What is knowledge distillation? Explain with definitions.,Knowledge distillation trains a smaller student model to mimic a larger teacher model. The student is trained on the teacher soft probability outputs (dark knowledge) rather than hard labels. DistilBERT is 40% smaller than BERT with 97% of its performance. Useful for deploying models on edge devices.
What is meant by what are evaluation metrics for GANs? Explain technically.,FID (Frechet Inception Distance) computes Frechet distance between real and generated feature distributions in Inception space — lower is better. IS (Inception Score) measures quality and diversity. Precision/Recall for generative models decomposes IS into quality (precision) and diversity (recall).
Please describe what is Layer Normalization?,"LayerNorm normalizes activations across the feature dimension for each token independently: y = (x - mean) / (std + eps) * gamma + beta. Unlike BatchNorm, it does not depend on batch size, making it suitable for variable-length sequences. Pre-LN (applied before attention) is more stable than post-LN."
Can you explain what is beta-VAE? For a Generative AI course student.,"Beta-VAE adds a weight beta > 1 to the KL term: ELBO = reconstruction - beta * KL. Higher beta encourages a more disentangled, information-sparse latent space at the cost of reconstruction quality. It was introduced by Higgins et al. to learn interpretable latent factors."
Can you explain what is the difference between GPT-2 and GPT-3? For a GenAI student.,GPT-2 has 1.5B parameters and was pretrained on WebText (~40 GB). GPT-3 scaled to 175B parameters on 300B tokens from Common Crawl and other sources. GPT-3 demonstrated few-shot in-context learning as an emergent capability absent in GPT-2. Scale bridged the gap from a text completer to a general-purpose assistant.
Define what is dropout regularization? Give examples.,"Dropout randomly sets a fraction p of neurons to zero during training, forcing the network to learn redundant representations. Acts as an ensemble of many sub-networks. Reduces overfitting on small datasets. At inference, all neurons are active and outputs are scaled by (1-p). Less commonly used in modern LLMs."
"As an AI student, explain what is the forward and reverse process in diffusion models? Give examples where relevant.","Forward: q(x_t|x_{t-1}) = N(x_t; sqrt(1-beta_t)*x_{t-1}, beta_t*I) adds Gaussian noise at each step. Reverse: learned p_theta(x_{t-1}|x_t) denoises step by step. The network predicts the noise epsilon_theta(x_t, t) and the loss is MSE between predicted and actual noise."
What is prompt engineering? Explain technically.,"Prompt engineering designs input prompts to elicit desired LLM outputs. Techniques: zero-shot (direct instruction), few-shot (k demonstrations), chain-of-thought (step-by-step reasoning), system prompts (role/persona), structured output prompting (JSON schema), self-consistency (majority vote over multiple CoT paths)."
"In simple terms, what is what is cross-attention? Include relevant equations or pseudocode if helpful.","Cross-attention allows the decoder to attend over encoder representations. Q comes from the decoder, K and V come from the encoder. This enables the decoder to look up relevant parts of the encoded input, fundamental in seq2seq tasks like translation."
Please describe what is the GAN training objective?,"min_G max_D E[log D(x)] + E[log(1 - D(G(z)))]. D maximizes log-probabilities for real data and log(1-p) for fakes. G minimizes log(1 - D(G(z))), or equivalently maximizes log D(G(z)) in the non-saturating version to avoid vanishing gradients early in training."
Please describe what topics are covered in the Generative AI and LLMs course? Explain with clear definitions.,"Topics: Generative models (VAE, GAN, Diffusion), Transformer architecture, LLM pretraining, Prompt engineering, Fine-tuning methods (LoRA, QLoRA, RLHF, DPO), RAG systems, Vector databases, Evaluation metrics, and practical deployment on Colab."
Briefly describe what is the attention mechanism in neural networks?,"Attention allows a model to weight different parts of the input differently when producing each output element. It computes a context vector as a weighted sum of value vectors, where weights are derived from the similarity between a query and key vectors. Attention removes the bottleneck of fixed-size encodings in seq2seq models."
What is classifier-free guidance?,"CFG trains a single model for both conditional and unconditional generation by randomly dropping the class condition during training. At inference, the output is extrapolated: output = uncond + w*(cond - uncond) where w > 1 increases adherence to the condition at the cost of diversity. Used in Stable Diffusion."
I need help understanding what is learning rate warm-up? Give examples where relevant.,Learning rate warm-up gradually increases the LR from near-zero to the target LR over the first few steps. Prevents instability early in training. Common schedules: linear warm-up followed by cosine decay. Warmup of 5-10% of total steps is standard for LLM fine-tuning.
Please explain when is the assignment submission deadline? Be concise and precise.,The combined deadline for Assignment 1 and Assignment 2 is 5th April 2026 at 9:00 PM IST. Demonstrations and Vivas are scheduled after submission.
What is residual connection? Provide a detailed answer.,"A residual (skip) connection adds the input of a sublayer directly to its output: y = F(x) + x. This allows gradients to flow directly through the network, mitigating vanishing gradients. Used in every Transformer block around the attention and FFN sublayers. Key to training very deep networks."
"In simple terms, what is what is catastrophic forgetting in fine-tuning? Include relevant equations or pseudocode if helpful.","When a model is fine-tuned on a new task, it may overwrite representations needed for old tasks. Mitigations: PEFT (original weights frozen), elastic weight consolidation (EWC), rehearsal (mixing old data), continual learning methods. LoRA avoids forgetting because base weights are not modified."
Define the following: what is hallucination in LLMs? Give examples where relevant.,"Hallucination occurs when an LLM generates plausible-sounding but factually incorrect or unsupported content. Types: intrinsic (contradicts source), extrinsic (adds info not in source). Causes: spurious correlations, overconfidence, insufficient grounding. Mitigations: RAG, RLHF, self-consistency, factuality-focused fine-tuning."
What is the AdamW optimizer? Provide a detailed answer.,"AdamW (Loshchilov & Hutter, 2019) decouples weight decay from the adaptive gradient update. Standard Adam applies weight decay through the gradient (L2 regularization), conflating it with adaptive scaling. AdamW applies weight decay directly to weights, making regularization more effective. Standard choice for LLM training."
"In simple terms, what is what is the Tree of Thoughts framework?","Tree of Thoughts (Yao et al., 2023) frames problem solving as a search over a tree of coherent text chunks. The model generates multiple thoughts at each node, evaluates their promise, and applies BFS or DFS to navigate the tree. Dramatically outperforms CoT on tasks requiring exploration and backtracking."
What is BERTScore? Give examples where relevant.,"BERTScore computes semantic similarity between generated and reference text using contextual BERT embeddings. For each token in the generated text it finds the most similar token in the reference via cosine similarity. Aggregates into Precision, Recall, and F1. More sensitive to paraphrasing than BLEU or ROUGE."
Please explain what is zero-shot vs few-shot prompting? Include relevant equations or pseudocode if helpful.,"Zero-shot: only a task instruction, no examples, relying purely on pretrained knowledge. Few-shot (Brown et al., 2020): k input-output demonstrations prepended to the actual query. Few-shot guides the output format and style through examples. Neither involves weight updates — both are in-context learning."
Give a technical explanation of what is the difference between dense and sparse retrieval? Include relevant equations or pseudocode if helpful.,"Sparse retrieval (BM25, TF-IDF) uses keyword matching with inverted indexes — fast and interpretable. Dense retrieval uses neural embeddings and ANN search — captures semantic similarity and handles paraphrasing. Hybrid RAG combines both using reciprocal rank fusion for best recall."
"For an AI course student, what is what is Byte-Pair Encoding? Be concise.","BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
Please explain what is the softmax function? Explain technically.,"Softmax converts a vector of real numbers into a probability distribution: softmax(z_i) = exp(z_i) / sum_j(exp(z_j)). It ensures all outputs are positive and sum to 1. Used in classification heads, attention score normalization, and the final token prediction layer of LLMs."
"In simple terms, what is what is gradient accumulation? For a Generative AI course student.","Gradient accumulation computes gradients over multiple mini-batches before updating weights, simulating a larger effective batch size without extra memory. Effective batch = per_device_batch * gradient_accumulation_steps * num_GPUs. Essential when GPU memory limits per-device batch size."
"For a university exam, explain what is classifier-free guidance? For a Generative AI course student.","CFG trains a single model for both conditional and unconditional generation by randomly dropping the class condition during training. At inference, the output is extrapolated: output = uncond + w*(cond - uncond) where w > 1 increases adherence to the condition at the cost of diversity. Used in Stable Diffusion."
Briefly describe what is emergent behavior in LLMs? Explain technically.,"Emergent behaviors are capabilities that appear abruptly as model scale increases, not present in smaller models. Examples: multi-step arithmetic, chain-of-thought reasoning, code generation, instruction following. Emergence is related to phase transitions in the loss landscape. The threshold varies by task."
"In simple terms, what is what is the posterior collapse problem in VAEs? Give examples where relevant.","Posterior collapse occurs when the decoder ignores z and the encoder collapses to the prior (KL = 0). The model degenerates to a decoder-only model. Solutions: KL annealing (gradually increase KL weight), beta-VAE, free bits, or using a weaker decoder."
Please explain what is cosine learning rate scheduling? Give examples where relevant.,Cosine scheduling decays the learning rate following a half-cosine curve: LR(t) = LR_min + 0.5*(LR_max - LR_min)*(1 + cos(pi*t/T)). Provides a smooth decay that is large early and small near the end. Widely used in GPT and LLaMA training.
"In simple terms, what is what is the reparameterization trick in VAEs?","Sampling z ~ N(mu, sigma^2) is non-differentiable. The reparameterization trick rewrites z = mu + sigma * epsilon where epsilon ~ N(0,1). Gradients flow through mu and sigma deterministically; epsilon carries the randomness. This enables backpropagation through the sampling step."
Can you explain explain the Transformer architecture. Explain technically.,"A Transformer (Vaswani et al., 2017) replaces recurrence with attention. Components: token embedding + positional encoding, stacked encoder or decoder blocks each containing multi-head self-attention and a position-wise FFN with residual connections and LayerNorm. Encoder reads full context; decoder adds masked self-attention and cross-attention over encoder output."
What is meant by what is Byte-Pair Encoding? Give examples.,"BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
Please describe what is quantization in LLMs?,"Quantization reduces model precision from float32 or float16 to int8, int4, or lower, shrinking memory footprint and speeding up inference. GPTQ uses post-training quantization with calibration data. bitsandbytes enables 4-bit NF4 QLoRA training. Quality loss is minimal at int8 and modest at int4."
"As an AI student, explain what are embedding models used in RAG? Give examples where relevant.","Popular models: sentence-transformers all-MiniLM-L6-v2 (fast, 384 dims), E5-large (Microsoft), BGE-M3 (BAAI, multilingual), OpenAI text-embedding-3-large. Embeddings should ideally be fine-tuned for the retrieval domain."
Can you explain what is masked self-attention?,"In the decoder, masked self-attention prevents position i from attending to positions j > i (future tokens). This is done by adding -inf to future positions before softmax, ensuring autoregressive generation where each token depends only on past tokens."
What is self-consistency prompting? Explain technically.,"Self-consistency (Wang et al., 2022) samples multiple diverse CoT reasoning paths for the same question and takes a majority vote on the final answer. Accuracy improves with more samples. It exploits the fact that correct reasoning paths tend to converge on the correct answer while incorrect paths diverge."
"For a university exam, explain what is a Wasserstein GAN? For a Generative AI course student.",WGAN replaces the JS divergence with Earth Mover (Wasserstein-1) distance. The discriminator (now called critic) outputs an unbounded score. Training requires weight clipping or a gradient penalty (WGAN-GP) to enforce the Lipschitz constraint. WGAN provides a meaningful loss metric correlated with sample quality.
"For a university exam, explain what is the difference between pretraining and fine-tuning? For a Generative AI course student.","Pretraining learns general representations from massive unlabeled corpora via self-supervised objectives (next-token prediction, masked LM). Fine-tuning adapts the pretrained model to a specific task on a smaller labeled dataset, updating all or a subset of weights. Fine-tuning is much cheaper than pretraining from scratch."
"In simple terms, what is compare ChromaDB and FAISS.","ChromaDB is a full-featured vector DB with persistence, metadata filtering, and an easy Python API — best for prototyping and small-to-medium scale. FAISS is a C++ library optimized for billion-scale ANN with IVF and HNSW indexes — faster but lacks built-in persistence and metadata filtering."
Briefly describe what is the HuggingFace Transformers library? Give examples where relevant.,"HuggingFace Transformers provides a unified API to load thousands of pretrained models from the Model Hub. Key classes: AutoModelForCausalLM, AutoTokenizer, Trainer, TrainingArguments, pipeline. Supports PyTorch, TensorFlow, and JAX. Integrates with PEFT, TRL, and Datasets libraries."
"As an AI student, explain what is a Large Language Model?","An LLM is a transformer-based language model with billions of parameters trained on massive text corpora via next-token prediction. Scale enables emergent capabilities: in-context learning, chain-of-thought reasoning, instruction following. Examples: GPT-4 (OpenAI), LLaMA-3 (Meta), Mistral, Gemma (Google), Claude (Anthropic)."
Give a technical explanation of what tools and platforms are used in the course labs? For a Generative AI course student.,"Platform: Google Colab (free T4 GPU). Frameworks: HuggingFace Transformers, PEFT, TRL, Datasets. LLM access: Groq API and Ollama. Vector databases: ChromaDB and FAISS. Embeddings: sentence-transformers. Optional: Weights and Biases for experiment tracking."
What is cosine learning rate scheduling?,Cosine scheduling decays the learning rate following a half-cosine curve: LR(t) = LR_min + 0.5*(LR_max - LR_min)*(1 + cos(pi*t/T)). Provides a smooth decay that is large early and small near the end. Widely used in GPT and LLaMA training.
Can you explain what is PEFT prefix tuning?,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
Briefly describe what is Byte-Pair Encoding? Give examples.,"BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
What is knowledge distillation? For a GenAI student.,Knowledge distillation trains a smaller student model to mimic a larger teacher model. The student is trained on the teacher soft probability outputs (dark knowledge) rather than hard labels. DistilBERT is 40% smaller than BERT with 97% of its performance. Useful for deploying models on edge devices.
"As an AI student, explain what is Groq?","Groq is an inference platform with custom LPU hardware delivering extremely fast token generation (200-400 tokens/second). Provides a free API tier supporting LLaMA-3, Mixtral, and Gemma models. Useful for rapid prototyping where low latency matters."
I need help understanding what is Byte-Pair Encoding? Be concise.,"BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
Define the following: what is BERTScore? Give examples where relevant.,"BERTScore computes semantic similarity between generated and reference text using contextual BERT embeddings. For each token in the generated text it finds the most similar token in the reference via cosine similarity. Aggregates into Precision, Recall, and F1. More sensitive to paraphrasing than BLEU or ROUGE."
"For a university exam, explain what is the feed-forward sublayer in a Transformer? Give examples where relevant.","The position-wise FFN applies two linear layers with a non-linearity: FFN(x) = max(0, xW_1 + b_1)W_2 + b_2. Typically d_ff = 4 * d_model. Some models use SwiGLU or GEGLU activations. The FFN operates independently on each position and is responsible for memorizing factual knowledge."
Please explain explain Chain-of-Thought prompting.,"CoT prompting (Wei et al., 2022) elicits step-by-step reasoning before the final answer. Zero-shot CoT adds ""Let us think step by step."" Few-shot CoT provides worked-out reasoning examples. CoT dramatically improves multi-step arithmetic, commonsense, and symbolic reasoning. It enables models to decompose problems and check intermediate steps."
What is a Large Language Model? Include relevant equations or pseudocode if helpful.,"An LLM is a transformer-based language model with billions of parameters trained on massive text corpora via next-token prediction. Scale enables emergent capabilities: in-context learning, chain-of-thought reasoning, instruction following. Examples: GPT-4 (OpenAI), LLaMA-3 (Meta), Mistral, Gemma (Google), Claude (Anthropic)."
What is Groq? Provide a detailed answer.,"Groq is an inference platform with custom LPU hardware delivering extremely fast token generation (200-400 tokens/second). Provides a free API tier supporting LLaMA-3, Mixtral, and Gemma models. Useful for rapid prototyping where low latency matters."
What is classifier-free guidance? Provide a detailed answer.,"CFG trains a single model for both conditional and unconditional generation by randomly dropping the class condition during training. At inference, the output is extrapolated: output = uncond + w*(cond - uncond) where w > 1 increases adherence to the condition at the cost of diversity. Used in Stable Diffusion."
What is zero-shot vs few-shot prompting?,"Zero-shot: only a task instruction, no examples, relying purely on pretrained knowledge. Few-shot (Brown et al., 2020): k input-output demonstrations prepended to the actual query. Few-shot guides the output format and style through examples. Neither involves weight updates — both are in-context learning."
I need help understanding compare ChromaDB and FAISS. Be concise and precise.,"ChromaDB is a full-featured vector DB with persistence, metadata filtering, and an easy Python API — best for prototyping and small-to-medium scale. FAISS is a C++ library optimized for billion-scale ANN with IVF and HNSW indexes — faster but lacks built-in persistence and metadata filtering."
What is meant by what is weight tying in language models?,"Weight tying shares the embedding matrix between the input token embedding layer and the output projection layer (lm_head). Since both map between token space and representation space, sharing weights reduces parameter count and often improves perplexity. Used in GPT-2 and many smaller LLMs."
Please describe what is the posterior collapse problem in VAEs? Include relevant equations or pseudocode if helpful.,"Posterior collapse occurs when the decoder ignores z and the encoder collapses to the prior (KL = 0). The model degenerates to a decoder-only model. Solutions: KL annealing (gradually increase KL weight), beta-VAE, free bits, or using a weaker decoder."
Can you explain what is cosine learning rate scheduling? Be concise and precise.,Cosine scheduling decays the learning rate following a half-cosine curve: LR(t) = LR_min + 0.5*(LR_max - LR_min)*(1 + cos(pi*t/T)). Provides a smooth decay that is large early and small near the end. Widely used in GPT and LLaMA training.
What are embedding models used in RAG? Give examples where relevant.,"Popular models: sentence-transformers all-MiniLM-L6-v2 (fast, 384 dims), E5-large (Microsoft), BGE-M3 (BAAI, multilingual), OpenAI text-embedding-3-large. Embeddings should ideally be fine-tuned for the retrieval domain."
Please describe walk through LoRA fine-tuning step by step. Provide a detailed answer.,"1. Load pretrained model with 4-bit quantization (QLoRA). 2. Define LoraConfig with r=16, alpha=32, targeting q, k, v, o projections. 3. Wrap model with get_peft_model — freezes base weights, adds LoRA matrices. 4. Tokenize dataset in chat format. 5. Train with SFTTrainer — only LoRA params (~0.4%) update. 6. Save the adapter (~50 MB vs 2 GB full model). 7. Merge or load adapter at inference."
Briefly describe what is weight tying in language models?,"Weight tying shares the embedding matrix between the input token embedding layer and the output projection layer (lm_head). Since both map between token space and representation space, sharing weights reduces parameter count and often improves perplexity. Used in GPT-2 and many smaller LLMs."
What is RLHF? For a Generative AI course student.,"RLHF (Ziegler et al., 2019) aligns LLMs with human preferences in three stages: (1) SFT on human-written demonstrations; (2) Reward Model trained on preference pairs; (3) RL optimization (PPO) of the SFT model against the reward model with a KL penalty to prevent reward hacking. Used in InstructGPT and ChatGPT."
Please describe compare LoRA and full fine-tuning. For a Generative AI course student.,Full fine-tuning updates all parameters needing roughly 28 GB GPU for a 7B model. LoRA adds about 0.1-0.4% extra params needing roughly 6 GB. Quality is comparable for most tasks. LoRA adapters are modular and swappable — multiple tasks can share one base model. LoRA also avoids catastrophic forgetting because base weights are frozen.
"In simple terms, what is what is positional encoding? Explain with clear definitions.","Since self-attention is permutation-invariant, positional encoding injects order information. Original Transformer uses fixed sinusoids: PE(pos,2i)=sin(pos/10000^(2i/d)), PE(pos,2i+1)=cos(pos/10000^(2i/d)). BERT/GPT use learned embeddings. LLaMA uses RoPE (Rotary Position Embedding), which applies rotation matrices to Q and K, enabling relative position information and length generalization."
I need help understanding what is flash attention? For a Generative AI course student.,"FlashAttention (Dao et al., 2022) is an IO-aware exact attention algorithm that tiles Q, K, V to avoid materializing the full N by N attention matrix in HBM. Reduces memory from O(N^2) to O(N) and is 2-4x faster due to reduced memory bandwidth. FlashAttention-2 further optimizes parallelism."
Please explain what is PEFT prefix tuning? Explain technically.,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
Please explain what is ReAct prompting? For a Generative AI course student.,"ReAct (Yao et al., 2022) interleaves Thought (reasoning step), Action (tool call: search or calculator), and Observation (tool result) cycles. The LLM decides what to do, calls a tool, observes the result, and iterates. Grounding reasoning in tool outputs reduces hallucinations. ReAct is the foundation of LLM agent loops."
